id,id_pais,id_material,fecha,id_vendedor,id_comprador,venta
1,1,1,2021-01-01 00:00:00,1,0,0
1,1,1,2021-01-01 00:00:00,2,0,0
1,1,1,2021-01-01 00:00:00,3,0,0
1,1,1,2021-01-02 00:00:00,1,0,0
1,1,1,2021-01-02 00:00:00,2,0,0
1,1,1,2021-01-02 00:00:00,3,0,0
1,1,1,2021-01-03 00:00:00,1,0,0
1,1,1,2021-01-03 00:00:00,2,0,0
1,1,1,2021-01-03 00:00:00,3,0,0
1,1,1,2021-01-04 00:00:00,1,0,0
1,1,1,2021-01-04 00:00:00,2,0,0
1,1,1,2021-01-04 00:00:00,3,0,0
1,1,1,2021-01-05 00:00:00,1,0,0
1,1,1,2021-01-05 00:00:00,2,0,0
1,1,1,2021-01-05 00:00:00,3,0,0
1,1,1,2021-01-06 00:00:00,1,0,0
1,1,1,2021-01-06 00:00:00,2,0,0
1,1,1,2021-01-06 00:00:00,3,0,0
1,1,1,2021-01-07 00:00:00,1,0,0
1,1,1,2021-01-07 00:00:00,2,0,0
1,1,1,2021-01-07 00:00:00,3,0,0
1,1,1,2021-01-08 00:00:00,1,0,0
1,1,1,2021-01-08 00:00:00,2,0,0
1,1,1,2021-01-08 00:00:00,3,0,0
1,1,1,2021-01-09 00:00:00,1,0,0
1,1,1,2021-01-09 00:00:00,2,0,0
1,1,1,2021-01-09 00:00:00,3,0,0
1,1,1,2021-01-10 00:00:00,1,0,0
1,1,1,2021-01-10 00:00:00,2,0,0
1,1,1,2021-01-10 00:00:00,3,0,0
1,1,1,2021-01-11 00:00:00,1,0,0
1,1,1,2021-01-11 00:00:00,2,0,0
1,1,1,2021-01-11 00:00:00,3,0,0
1,1,1,2021-01-12 00:00:00,1,0,0
1,1,1,2021-01-12 00:00:00,2,0,0
1,1,1,2021-01-12 00:00:00,3,0,0
1,1,1,2021-01-13 00:00:00,2,0,0
1,1,1,2021-01-13 00:00:00,3,0,0
1,1,1,2021-01-14 00:00:00,1,0,0
1,1,1,2021-01-14 00:00:00,2,0,0
1,1,1,2021-01-14 00:00:00,3,0,0
1,1,1,2021-01-15 00:00:00,1,0,0
1,1,1,2021-01-15 00:00:00,2,0,0
1,1,1,2021-01-15 00:00:00,3,0,0
1,1,1,2021-01-16 00:00:00,1,0,0
1,1,1,2021-01-16 00:00:00,2,0,0
1,1,1,2021-01-16 00:00:00,3,0,0
1,1,1,2021-01-17 00:00:00,1,0,0
1,1,1,2021-01-17 00:00:00,2,0,0
1,1,1,2021-01-17 00:00:00,3,0,0
1,1,1,2021-01-18 00:00:00,1,0,0
1,1,1,2021-01-18 00:00:00,2,0,0
1,1,1,2021-01-18 00:00:00,3,0,0
1,1,1,2021-01-19 00:00:00,1,0,0
1,1,1,2021-01-19 00:00:00,2,0,0
1,1,1,2021-01-19 00:00:00,3,0,0
1,1,1,2021-01-20 00:00:00,1,0,0
1,1,1,2021-01-20 00:00:00,2,0,0
1,1,1,2021-01-20 00:00:00,3,0,0
1,1,1,2021-01-21 00:00:00,1,0,0
1,1,1,2021-01-21 00:00:00,2,0,0
1,1,1,2021-01-21 00:00:00,3,0,0
1,1,1,2021-01-22 00:00:00,1,0,0
1,1,1,2021-01-22 00:00:00,2,0,0
1,1,1,2021-01-22 00:00:00,3,0,0
1,1,1,2021-01-23 00:00:00,1,0,0
1,1,1,2021-01-23 00:00:00,2,0,0
1,1,1,2021-01-23 00:00:00,3,0,0
1,1,1,2021-01-24 00:00:00,1,0,0
1,1,1,2021-01-24 00:00:00,2,0,0
1,1,1,2021-01-24 00:00:00,3,0,0
1,1,1,2021-01-25 00:00:00,1,0,0
1,1,1,2021-01-25 00:00:00,2,0,0
1,1,1,2021-01-25 00:00:00,3,0,0
1,1,1,2021-01-26 00:00:00,1,0,0
1,1,1,2021-01-26 00:00:00,2,0,0
1,1,1,2021-01-26 00:00:00,3,0,0
1,1,1,2021-01-27 00:00:00,1,0,0
1,1,1,2021-01-27 00:00:00,2,0,0
1,1,1,2021-01-27 00:00:00,3,0,0
1,1,1,2021-01-28 00:00:00,1,0,0
1,1,1,2021-01-28 00:00:00,2,0,0
1,1,1,2021-01-28 00:00:00,3,0,0
1,1,1,2021-01-29 00:00:00,1,0,0
1,1,1,2021-01-29 00:00:00,2,0,0
